
"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","Age","B","N","P","R%","D","I","alfa95","k","Plat","Plon","A95","AV","Authors","Journal","Year","Vol","Pages","DOI"
"6671","i","Seabrook Lake carbonatite complex","CA","","Laurentia-Superior","47.0","276.7","1105","13","49","M","23","308.7","47.2","12.9","11.2","46.3","180.2","13.4","5","Symons, D.T.A.","Can. J. Earth Sci.","1992","29","1215-1223","http://dx.doi.org/10.1139/e92-097"
"73031","i","Nemegosenda alkaline complex -N","CA","","Laurentia-Superior","48.0","276.9","1105","4","?","N","0","312.0","54.0","13.0","17.0","52.2","184.1","15.3","3","Costanzo-Alvarez, V., Dunlop, D.J., Pesonen, L.J.","J. Geophys. Res.","1993","98","4063-4079","http://dx.doi.org/10.1029/92JB02571"
"2644","i","Nemegosenda carbonatite complex","CA","","Laurentia-Superior","48.0","276.9","1105","11","41*","N","0","305.0","46.0","18.0","2.5","43.0","182.0","19","2","Symons, D.T.A., Garber, J.","Can. J. Earth Sci.","1974","11","341-345","http://dx.doi.org/10.1139/e74-029"
"10773","i","Upper third Osler volcanics -R","CA","","Laurentia-Superior","48.7","272.4","1105","34","240","R","100","107.6","-61.6","3.5","50.0","41.6","205.4","4.8","5","Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.","Geochem. Geophys. Geosyst.","2014","15","2039-2047","http://dx.doi.org/10.1002/2013GC005180"
"7303","i","Nemegosenda alkaline complex -C","CA","","Laurentia-Superior","48.0","276.9","1105","11","22","C","36","309.4","55.5","11.4","16.9","51.3","188.0","13.8","3","Costanzo-Alvarez, V., Dunlop, D.J., Pesonen, L.J.","J. Geophys. Res.","1993","98","4063-4079","http://dx.doi.org/10.1029/92JB02571"
"73021","i","Shenango alkaline complex -N","CA","","Laurentia-Superior","48.4","277.2","1105","1","7*","N","0","304.0","51.0","10.0","31.0","45.1","186.4","11.1","3","Costanzo-Alvarez, V., Dunlop, D.J., Pesonen, L.J.","J. Geophys. Res.","1993","98","4063-4079","http://dx.doi.org/10.1029/92JB02571"
"73032","i","Nemegosenda alkaline complex -R","CA","","Laurentia-Superior","48.0","276.9","1105","7","?","R","100","124.0","-57.0","20.0","13.0","48.6","193.8","24.8","3","Costanzo-Alvarez, V., Dunlop, D.J., Pesonen, L.J.","J. Geophys. Res.","1993","98","4063-4079","http://dx.doi.org/10.1029/92JB02571"
"100375","i","Lower Mamainse lavas - R1","CA","","Laurentia-Superior","47.0","275.3","1105","12","46","R","100","105.1","-58.7","4.2","7.8","37.0","206.2","5.3","5","Swanson-Hysell, N.L., Maloof, A.C., Weiss, B.P., Evans, D.A.D.","Nature Geoscience","2009","2","713-717","http://dx.doi.org/10.1038/ngeo622"
"10681","i","Lower Mamainse Point volcanics -R1","CA","","Laurentia-Superior","47.0","275.3","1105","14","57","R","100","106.0","-57.7","3.9","107.2","37.5","205.2","4.9","4","Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.","Geology","2014","42","475-478","http://dx.doi.org/10.1130/G35271.1"
"30632","i","Lower Mamainse Point lavas -N2","US","","Laurentia-Superior","47.0","275.3","1105","1","14*","N","0","290.0","41.0","8.0","26.0","31.0","188.0","7.7","2","Palmer, H.C.","Can. J. Earth Sci.","1970","7","1410-1436","http://dx.doi.org/10.1139/e70-136"
"10624","i","Logan diabases, Cook county -R","US","","Laurentia-Superior","48.1","269.6","1105","1","2","R","100","126.4","-64.8","","","54.4","189.2","","1","Beck, M.E., Lindsley, N.C.","J. Geophys. Res.","1969","74","2002-2013","http://dx.doi.org/10.1029/JB074i008p02002"
"3091","i","South  Range lavas","US","","Laurentia-Superior","45.0","270.0","1107","14","61","R","100","74.0","-71.5","4.8","71.1","29.0","232.5","7.3","3","Books, K.G.","U.S. Geol. Surv. Prof. Paper 600-D","1968","","D248-D254",""
"3024","i","Duluth gabbro, Cook county -R","US","","Laurentia-Superior","48.0","268.6","1107","13","40","R","100","91.0","-65.5","6.0","44.2","33.9","214.4","8.2","2","Beck, M.E.","J. Geophys. Res.","1970","75","4985-4996","http://dx.doi.org/10.1029/JB075i026p04985"
"9084","s","Sibley baked conglomerate -R","CA","","Laurentia-Superior","48.5","271.0","1107","1","11*","R","100","110.6","-55.7","8.3","31.3","39.0","194.6","10","3","Schmidt, P.W., Williams, G.E.","Tectonophys.","2003","377","7-32","http://dx.doi.org/10.1016/j.tecto.2003.08.017"
"6494","i","Coldwell complex","CA","Episode II","Laurentia-Superior","48.8","273.4","1107","11","59","N","0","301.8","60.1","5.8","14.7","49.1","195.1","8.7","3","Lewchuk, M.T., Symons, D.T.A.","Tectonophys.","1990","184","73-86","http://dx.doi.org/10.1016/0040-1951(90)90121-N"
"10778","i","Coldwell complex center C, middle","CA","","Laurentia-Superior","48.8","273.5","1107","16","23","R","100","114.6","-61.6","5.8","42.0","45.6","203.7","7.9","4","Kulakov, E.V., Smirnov, A.V., Diehl, J.F.","J. Geophys. Res.","2014","119","8633-8654","http://dx.doi.org/10.1002/2014JB011463"
"10774","i","Middle third Osler volcanics -R","CA","","Laurentia-Superior","48.8","272.4","1107","20","139","R","100","105.9","-64.9","5.5","36.5","42.7","211.3","7.9","4","Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.","Geochem. Geophys. Geosyst.","2014","15","2039-2047","http://dx.doi.org/10.1002/2013GC005180"
"10623","i","Thomson dyke","MN","BMN","Laurentia-Superior","46.7","267.6","1107","1","7*","R","100","126.6","-63.4","4.0","175.0","53.4","195.1","5.6","2","Mitchell, R.","University Of Yale Report","2007","","21pp.",""
"349","i","Powder Mill volcanics -R","US","","Laurentia-Superior","46.5","270.0","1107","33","198","R","100","97.5","-67.6","3.9","42.2","39.0","218.0","5.8","4","Palmer, H.C., Halls, H.C.","J. Geophys. Res.","1986","91","11571-11580","http://dx.doi.org/10.1029/JB091iB11p11571"
"10992","i","North Shore lavas -R","US","","Laurentia-Superior","46.3","268.7","1108","3","14","R","100","120.9","-69.1","10.7","133.0","52.2","210.6","16.8","4","Tauxe, L., Kodama, K.P.","Phys. Earth Plan. Int.","2009","177","31-45","http://dx.doi.org/10.1016/j.pepi.2009.07.006"
"6493","i","Coldwell complex","CA","Episode I","Laurentia-Superior","48.8","273.4","1108","19","173*","R","100","121.0","-70.9","3.3","13.7","54.2","217.0","5.3","3","Lewchuk, M.T., Symons, D.T.A.","Tectonophys.","1990","184","73-86","http://dx.doi.org/10.1016/0040-1951(90)90121-N"
"3092","i","North Shore volcanics - R","US","","Laurentia-Superior","45.0","270.0","1108","11","52","R","100","117.0","-59.2","4.0","129.4","44.5","197.0","5.5","3","Books, K.G.","U.S. Geol. Surv. Prof. Paper 600-D","1968","","D248-D254",""
"3061","i","Gargantua volcanics -R","CA","LR","Laurentia-Superior","47.6","275.0","1108","9","11","R","100","154.3","-71.5","5.5","89.8","72.1","223.3","8.9","3","Palmer, H.C.","Can. J. Earth Sci.","1970","7","1410-1436","http://dx.doi.org/10.1139/e70-136"
"10809","i","Coldwell complex center A, eastern","CA","","Laurentia-Superior","48.8","273.6","1108","14","19","R","100","115.1","-66.1","4.4","82.0","48.9","209.8","6.5","4","Kulakov, E.V., Smirnov, A.V., Diehl, J.F.","J. Geophys. Res.","2014","119","8633-8654","http://dx.doi.org/10.1002/2014JB011463"
"3059","i","North Shore volcanics -R","US","","Laurentia-Superior","47.8","270.1","1108","14","14","R","100","116.4","-62.9","7.3","30.5","47.0","200.2","10.4","2","Palmer, H.C.","Can. J. Earth Sci.","1970","7","1410-1436","http://dx.doi.org/10.1139/e70-136"
"2661","i","Gargantua - Mamainse Point lavas -R","CA","","Laurentia-Superior","47.2","275.2","1108","12","67","R","100","104.0","-74.0","8.8","26.4","45.8","232.0","15","4","Robertson, W.A.","Can. J. Earth Sci.","1973","10","1541-1555","http://dx.doi.org/10.1139/e73-146"
"10625","i","Lower part of lower Osler volcanics -R","US","","Laurentia-Superior","48.7","271.9","1108","1","13*","R","100","118.2","-63.0","7.9","28.7","48.5","200.3","11","3","Halls, H.C.","Can. J. Earth Sci.","1974","11","1200-1207","http://dx.doi.org/10.1139/e74-113"
"100373","i","Lowermost Mamainse lavas - R2","CA","","Laurentia-Superior","47.0","275.3","1109","14","72","R","100","109.6","-72.0","4.7","71.4","47.6","225.8","7.9","5","Swanson-Hysell, N.L., Maloof, A.C., Weiss, B.P., Evans, D.A.D.","Nature Geoscience","2009","2","713-717","http://dx.doi.org/10.1038/ngeo622"
"5875","i","Slate Island lavas -R","CA","primary","Laurentia-Superior","48.7","273.1","1109","4","67","R","100","125.9","-63.0","15.4","37.0","53.3","197.4","21.4","4","Halls, H.C.","Geophys. JRAS","1979","59","553-591","http://dx.doi.org/10.1111/j.1365-246X.1979.tb02573.x"
"10775","i","Lower third Osler volcanics -R","CA","","Laurentia-Superior","48.8","272.3","1109","30","179","R","100","99.3","-68.0","3.4","62.2","40.9","218.6","5.2","4","Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.","Geochem. Geophys. Geosyst.","2014","15","2039-2047","http://dx.doi.org/10.1002/2013GC005180"
"10125","s","Dox sandstone, lower part of upper middle member","US","","Laurentia-Yavapai","36.1","248.2","1109","123","?","M","?","295.1","52.0","2.1","36.5","37.3","174.3","2.4","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"10585","i","Grand Portage dykes","US","","Laurentia-Superior","47.9","270.5","1109","1","8*","R","100","117.1","-63.1","6.4","77.0","47.6","200.2","8.9","3","Green, J.C., Bornhorst, T.J., Chandler, V.W., Mudrey Jr., M.G., Myers, P.E., Pesonen, L.J., Wilband, J.T.","Mafic Dyke Swarms, ed. H.C. Halls, W.F. Fahrig, Geol. Assoc. Can.","1987","book","289-302",""
"30642","i","Lower Mamainse Point lavas - R2","US","","Laurentia-Superior","47.0","275.3","1109","1","15*","R","100","121.0","-71.0","8.0","22.0","61.0","219.0","13.5","2","Palmer, H.C.","Can. J. Earth Sci.","1970","7","1410-1436","http://dx.doi.org/10.1139/e70-136"
"10593","i","Gunflint Keweenawan dykes - R","US","","Laurentia-Superior","48.5","270.8","1110","?","34*","R","100","89.5","-77.4","3.4","54.0","43.0","237.4","6.2","4","Purucker, M.","Econ. Geol.","1983","78","502-506","http://dx.doi.org/10.2113/gsecongeo.78.3.502"
"2981","i","Logan dykes -R","CA","","Laurentia-Superior","48.3","270.9","1110","4","23","R","100","134.0","-77.0","23.0","17.0","60.0","233.0","42.5","2","Robertson, W.A., Fahrig, W.F.","Can. J. Earth Sci.","1971","8","1355-1372","http://dx.doi.org/10.1139/e71-125"
"10594","i","Gunflint iron formation baked by Keweenawan dykes","CA","","Laurentia-Superior","48.5","271.0","1110","?","16*","R","100","132.5","-70.5","3.6","104.0","60.6","211.5","5.8","3","Purucker, M.","Econ. Geol.","1983","78","502-506","http://dx.doi.org/10.2113/gsecongeo.78.3.502"
"10684","i","Lowermost Mamainse Point volcanics -R2","CA","","Laurentia-Superior","47.0","275.3","1110","24","117","R","100","112.8","-72.5","3.2","88.7","49.5","227.0","5.3","4","Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.","Geology","2014","42","475-478","http://dx.doi.org/10.1130/G35271.1"
"10586","i","Thunder Bay sills and baked rocks -R","CA","","Laurentia-Superior","48.3","271.0","1110","10","49","R","100","112.6","-70.2","6.5","55.0","49.3","215.7","10.4","5","Pesonen, L.J.","Bull. Geol. Soc. Fin.","1979","51","27-44",""
"1616","i","Marquette dykes","US","","Laurentia-Superior","46.6","272.5","1110","14","76","R","100","115.0","-68.0","3.7","115.0","48.4","213.5","5.7","5","Pesonen, L.J., Halls, H.C.","Can. J. Earth Sci.","1979","16","2136-2149","http://dx.doi.org/10.1139/e79-201"
"1311","i","Thunder Bay Pigeon-Rossport dykes and baked rocks -R","CA","","Laurentia-Superior","48.4","271.2","1110","17","83","R","100","112.3","-68.4","4.9","53.0","48.0","212.2","7.6","4","Pesonen, L.J.","Bull. Geol. Soc. Fin.","1979","51","27-44",""
"10595","i","Carlton County dykes of Minnesota -R","CA","","Laurentia-Superior","46.7","267.6","1110","1","8*","R","100","108.7","-64.1","4.8","137.0","42.3","204.5","6.8","3","Green, J.C., Bornhorst, T.J., Chandler, V.W., Mudrey Jr., M.G., Myers, P.E., Pesonen, L.J., Wilband, J.T.","Mafic Dyke Swarms, ed. H.C. Halls, W.F. Fahrig, Geol. Assoc. Can.","1987","book","289-302",""
"9079","s","Gunflint formation, baked magnetite -R","CA","","Laurentia-Superior","48.5","271.0","1110","1","29*","R","100","86.7","-54.6","5.8","21.9","23.5","208.2","6.8","4","Schmidt, P.W., Williams, G.E.","Tectonophys.","2003","377","7-32","http://dx.doi.org/10.1016/j.tecto.2003.08.017"
"3568","i","Logan diabase -R","CA","","Laurentia-Superior","48.5","271.0","1112","18","80","R","100","117.0","-76.0","4.5","13.2","53.5","230.0","8","3","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"10596","i","Nipigon Logan sills","CA","","Laurentia-Superior","49.0","271.9","1112","33 ","204","R","100","113.2","-74.1","3.3","57.9","51.4","227.3","5.7","4","Pesonen, L.J.","Bull. Geol. Soc. Fin.","1979","51","27-44",""
"100091","i","Nipigon sills","CA","A","Laurentia-Superior","49.0","271.0","1112","15","206","R","100","120.7","-73.1","9.1","23.6","48.7","207.4","15.4","4","Middleton, R.S., Borradaile, G.J., Baker, D., Lucas, K.","J. Geophys. Res.","2004","109","B2","http://dx.doi.org/10.1029/2003JB002581"
"10359","i","Empey Lake  Keweenawan overprints","CA","","Laurentia-Superior","49.2","269.2","1112","6","?","R","100","112.3","-65.6","8.6","62.1","46.6","204.4","12.5","4","Ernst, R.E., Buchan, K.L., Heaman, L.M., Hart, T.R., Morgan, J.","Ontario Geol. Surv. Open File Report","2006","MRD194","21pp.",""
"2653","s","Sibley group, baked by Logan sills","CA","","Laurentia-Superior","48.8","271.5","1112","5","17","R","100","151.0","-69.0","19.0","17.0","71.0","206.0","30.4","3","Robertson, W.A.","Can. J. Earth Sci.","1973","10","180-193","http://dx.doi.org/10.1139/e73-020"
"2982","i","Logan sills","CA","","Laurentia-Superior","48.8","271.1","1112","12","51","R","100","107.0","-72.0","8.0","34.0","47.0","220.0","13","3","Robertson, W.A., Fahrig, W.F.","Can. J. Earth Sci.","1971","8","1355-1372","http://dx.doi.org/10.1139/e71-125"
"100194","i","Nipigon sills","CA","B","Laurentia-Superior","49.0","271.0","1112","9","45","N","0","281.5","72.1","15.5","15.1","44.1","224.1","25.8","4","Middleton, R.S., Borradaile, G.J., Baker, D., Lucas, K.","J. Geophys. Res.","2004","109","B2","http://dx.doi.org/10.1029/2003JB002581"
"3056","i","Logan sills","CA","","Laurentia-Superior","49.0","270.2","1112","30","48","R","100","107.9","-72.2","3.6","53.1","48.4","218.3","6","3","Palmer, H.C.","Can. J. Earth Sci.","1970","7","1410-1436","http://dx.doi.org/10.1139/e70-136"
"10127","s","Dox sandstone, uppermost lower member and lower middle member","US","","Laurentia-Yavapai","36.1","248.1","1113","73","?","M","?","290.7","54.3","1.9","74.8","34.8","178.9","2.3","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"3065","i","Alona Bay lavas","CA","","Laurentia-Superior","47.6","275.3","1113","3","11","R","100","106.3","-74.8","10.2","21.0","47.4","232.7","17.8","2","Palmer, H.C.","Can. J. Earth Sci.","1970","7","1410-1436","http://dx.doi.org/10.1139/e70-136"
"100093","i","Seagull intrusion","CA","","Laurentia-Superior","49.0","271.0","1113","1","32*","R","100","87.4","-75.7","3.8","45.0","42.0","233.4","7.1","4","Borradaile, G.J., Middleton, R.S.","Prec. Res.","2006","144","69-91","http://dx.doi.org/10.1016/j.precamres.2005.10.007"
"3567","i","Alona Bay lavas","CA","","Laurentia-Superior","47.0","275.5","1113","?","12","R","100","49.5","-84.5","13.5","11.6","39.0","265.0","25","2","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"1617","i","Baraga County dykes - R","US","","Laurentia-Superior","46.6","271.5","1113","4","20","R","100","108.0","-78.4","5.4","281.0","48.9","238.2","9.9","4","Pesonen, L.J., Halls, H.C.","Can. J. Earth Sci.","1979","16","2136-2149","http://dx.doi.org/10.1139/e79-201"
"100094","m","Vosgees lake tuff (Keweenawan remag.)","CA","","Laurentia-Superior","49.8","271.6","1113","1","58*","R","100","111.5","-73.5","2.1","82.7","51.1","222.5","3.6","4","Borradaile, G.J., Davis, D.W., Middleton, R.S., Genevicine, I.","Prec. Res.","2008","161","341-354","http://dx.doi.org/10.1016/j.precamres.2007.09.002"
"3767","i","Baraga County dykes - R","US","","Laurentia-Superior","46.5","271.5","1113","2","36","R","100","82.0","-86.0","1.0","82.0","45.0","261.0","2","3","Graham, J.W.","J. Geophys. Res.","1953","58","243-260","http://dx.doi.org/10.1029/JZ058i002p00243"
"10126","s","Dox sandstone, lower middle member -M","US","","Laurentia-Yavapai","36.1","248.1","1113","129","?","M","?","291.8","57.4","1.7","54.0","36.8","182.1","2.1","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"9085","s","Gunflint formation, baked chert","CA","R","Laurentia-Superior","48.5","271.0","1113","1","18*","R","100","93.7","-78.2","6.3","31.6","46.7","237.0","11.4","4","Schmidt, P.W., Williams, G.E.","Tectonophys.","2003","377","7-32","http://dx.doi.org/10.1016/j.tecto.2003.08.017"
"10962","i","Central Arizona diabases grand mean -R","US","","Laurentia-Yavapai","33.7","249.2","1119","5","1000","R","100","199.1","-83.1","6.0","165.1","46.2","255.5","11.5","5","Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.","Geophysica","2011","47","3-30",""
"10952","i","Central Arizona diabases -R","US","","Laurentia-Yavapai","33.7","249.2","1119","5","55","R","100","193.7","-78.7","15.7","24.7","54.9","258.1","28.9","4","Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.","Geophysica","2011","47","3-30",""
"10577","i","Salt River Canyon sill interior","US","","Laurentia-Yavapai","33.8","249.4","1119","6","40","R","100","245.2","-77.5","12.7","29.0","40.6","278.3","23","4","Sandberg, S.A., Butler, R.F.","Earth Plan. Sci. Lett.","1985","73","140-146","http://dx.doi.org/10.1016/0012-821X(85)90041-X"
"100095","i","Pillar Lake lavas","CA","LTD Thermal","Laurentia-Superior","50.2","270.9","1119","6","39","R","100","108.3","-70.1","11.4","8.7","47.6","215.3","17.6","3","Borradaile, G.J., Middleton, R.S.","Prec. Res.","2006","144","69-91","http://dx.doi.org/10.1016/j.precamres.2005.10.007"
"7192","i","Arizona, Gila County diabases -R","US","","Laurentia-Yavapai","33.5","249.3","1119","4","39","R","100","161.1","-87.5","19.9","22.2","38.6","247.3","39.7","3","Harlan, S.S.","Can. J. Earth Sci.","1993","30","1415-1426","http://dx.doi.org/10.1139/e93-122"
"10578","i","Salt River Canyon sill chilled marginal","US","","Laurentia-Yavapai","33.8","249.4","1119","4","24","R","100","19.2","-49.7","11.4","65.7","-23.2","231.4","12.4","4","Sandberg, S.A., Butler, R.F.","Earth Plan. Sci. Lett.","1985","73","140-146","http://dx.doi.org/10.1016/0012-821X(85)90041-X"
"3001","i","Franklin Mountains igneous rocks","US","","Laurentia-Yavapai","31.9","253.6","1120","12","101","N","0","279.0","62.0","4.0","557.0","28.0","200.0","5.5","4","Spall, H.","Phys. Earth Plan. Int.","1971","4","329-346","http://dx.doi.org/10.1016/0031-9201(71)90016-1"
"100092","i","Inspiration sills","CA","","Laurentia-Superior","50.0","271.0","1125","3","30","R","100","102.1","-70.3","4.1","41.3","44.5","218.0","6.4","4","Borradaile, G.J., Middleton, R.S.","Prec. Res.","2006","144","69-91","http://dx.doi.org/10.1016/j.precamres.2005.10.007"
"2600","i","Aillik dykes","CA","","Laurentia-Nain","55.2","300.8","1125","6","32","N","0","278.0","50.0","8.6","60.0","27.0","224.0","9.4","2","Fahrig, W.F., Larochelle, A.","Can. J. Earth Sci.","1972","9","1287-1296","http://dx.doi.org/10.1139/e72-112"
"3309","i","Keweenawan diorite","US","site 2","Laurentia-Superior","45.5","272.1","1140","1","4*","N","0","248.0","72.0","28.0","8.0","28.0","238.0","46.4","0","Symons, D.T.A.","Econ. Geol.","1967","62","118-137","http://dx.doi.org/10.2113/gsecongeo.62.1.118"
"3656","i","Keweenawan diorite","US","site 1","Laurentia-Superior","46.5","272.2","1140","1","4*","N","0","213.0","58.0","40.0","4.0","0.0","247.0","50.6","0","Symons, D.T.A.","Econ. Geol.","1967","62","118-137","http://dx.doi.org/10.2113/gsecongeo.62.1.118"
"10781","i","Abitibi dykes -N","CA","","Laurentia-Superior","48.0","279.0","1141","5","27","N","0","291.5","60.9","10.6","6.5","42.8","209.0","14.2","5","Ernst, R.E., Buchan, K.L.","Can. J. Earth Sci.","1993","30","1886-1897","http://dx.doi.org/10.1139/e93-167"
"10137","i","Possible Abitibi dykes","CA","","Laurentia-Superior","48.0","281.0","1141","1","14*","M","?","315.9","62.7","5.1","61.0","59.6","194.1","7.1","3","Halls, H.C., Stott, G.M., Davis, D.W.","Ontario Geol. Surv. Open File Report","2005","6171","59pp.",""
"10782","i","Abitibi dykes -R","CA","","Laurentia-Superior","48.0","279.0","1141","2","16","R","100","133.1","-76.3","","","60.3","239.7","","5","Ernst, R.E., Buchan, K.L.","Can. J. Earth Sci.","1993","30","1886-1897","http://dx.doi.org/10.1139/e93-167"
"10136","i","Possible Abitibi dykes, Empey Lake, Mine Center","CA","","Laurentia-Superior","49.2","269.2","1141","8","?","N","0","290.8","68.8","5.2","114.0","47.8","210.8","8.1","4","Ernst, R.E., Buchan, K.L., Heaman, L.M., Hart, T.R., Morgan, J.","Ontario Geol. Surv. Open File Report","2006","MRD194","21pp.",""
"10780","i","Abitibi dykes -C","CA","","Laurentia-Superior","48.0","279.0","1141","7","43","C","29","295.0","65.5","9.5","41.0","47.7","213.9","14","6","Ernst, R.E., Buchan, K.L.","Can. J. Earth Sci.","1993","30","1886-1897","http://dx.doi.org/10.1139/e93-167"
"13410","i","NW Ontario lamprophyres and Abitibi dykes -C","CA","","Laurentia-Superior","50.0","280.5","1142","27","332","C","59","303.1","70.2","4.5","38.4","55.8","220.0","7.1","6","Piispa, E.J., Smirnov, A.V., Pesonen, L.J., Mitchell, R.","J. Geophys. Res.","2018","123","6195-6214","http://dx.doi.org/10.1029/2018JB015992"
"13411","i","NW Ontario lamprophyres and Abitibi dykes -N","CA","","Laurentia-Superior","50.4","282.5","1142","11","216","N","0","297.6","69.2","8.4","30.5","52.4","221.0","13.2","5","Piispa, E.J., Smirnov, A.V., Pesonen, L.J., Mitchell, R.","J. Geophys. Res.","2018","123","6195-6214","http://dx.doi.org/10.1029/2018JB015992"
"13412","i","NW Ontario lamprophyres and Abitibi dykes -R","CA","","Laurentia-Superior","49.7","278.9","1142","16","116","R","100","127.2","-70.8","5.6","44.6","58.1","219.3","9.1","5","Piispa, E.J., Smirnov, A.V., Pesonen, L.J., Mitchell, R.","J. Geophys. Res.","2018","123","6195-6214","http://dx.doi.org/10.1029/2018JB015992"
"10981","i","Marathon lamprophyres -N","CA","","Laurentia-Superior","48.3","275.2","1143","5","31","N","0","305.9","78.3","13.7","32.4","57.3","242.4","25.1","4","Piispa, E.J., Smirnov, A.V., Pesonen, L.J., Mitchell, R.","J. Geophys. Res.","2018","123","6195-6214","http://dx.doi.org/10.1029/2018JB015992"
"10980","i","Marathon lamprophyres -C","CA","","Laurentia-Superior","48.5","274.4","1144","19","121","C","74","306.4","72.1","5.5","37.8","57.4","220.3","9.1","6","Piispa, E.J., Smirnov, A.V., Pesonen, L.J., Mitchell, R.","J. Geophys. Res.","2018","123","6195-6214","http://dx.doi.org/10.1029/2018JB015992"
"10982","i","Marathon lamprophyres -R","CA","","Laurentia-Superior","48.5","274.2","1145","14","90","R","100","126.5","-69.9","6.3","41.3","57.5","216.6","10","5","Piispa, E.J., Smirnov, A.V., Pesonen, L.J., Mitchell, R.","J. Geophys. Res.","2018","123","6195-6214","http://dx.doi.org/10.1029/2018JB015992"
"10576","s","Dox sandstone, upper part of lower member","US","","Laurentia-Yavapai","36.1","248.1","1150","69","?","M","?","281.9","45.9","2.7","42.2","24.7","174.9","2.7","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"2061","s","Menihek formation","CA","C","Laurentia-Superior","56.8","290.7","1150","4","20","N","0","298.0","72.0","16.0","32.0","59.0","229.0","26.5","2","Park, J.K.","Can. J. Earth Sci.","1977","14","159-174","http://dx.doi.org/10.1139/e77-019"
"2902","i","Thistlethwaite dyke","CA","","Laurentia-Slave","63.2","246.4","1167","1","5","N","0","281.0","72.0","","","53.0","185.0","","2","McGlynn, J.C., Irving, E.","Tectonophys.","1975","26","23-28","http://dx.doi.org/10.1016/0040-1951(75)90111-0"
"10128","s","Shinumo quartzite, lower part of upper middle member and lower middle member","US","","Laurentia-Yavapai","36.1","248.1","1170","58","?","M","?","268.2","45.7","2.7","49.7","14.2","181.5","2.7","5","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"132","i","Cordova gabbro","CA","C","Laurentia-Grenville","44.5","282.2","1175","12","23","R","100","180.0","27.5","10.5","18.0","31.0","102.0","8.4","1","Dunlop, D.J., Stirling, J.M.","Geophys. JRAS","1985","81","521-550","http://dx.doi.org/10.1111/j.1365-246X.1985.tb06420.x"
"10129","s","Hakatai shale, upper member and parts of middle member","US","","Laurentia-Yavapai","36.1","248.0","1190","36","?","N","0","249.5","62.8","3.8","39.5","12.0","204.7","5.3","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"1719","i","Burchell Lake granite","CA","2","Laurentia-Superior","48.7","269.4","1200","?","12","R","100","80.9","-11.1","16.7","7.7","-1.7","189.9","11.8","1","Dunlop, D.J.","Can. J. Earth Sci.","1984","21","1098-1104","http://dx.doi.org/10.1139/e84-114"
"2979","i","Labrador dyke","CA","","Laurentia-Nain","54.4","302.9","1200","1","4*","R","100","82.0","-47.0","9.0","111.0","18.2","236.0","9.8","1","Murthy, G.S., Deutsch, E.R.","Can. J. Earth Sci.","1972","9","207-212","http://dx.doi.org/10.1139/e72-016"
"9083","s","Sibley conglomerate -N","CA","","Laurentia-Superior","48.5","271.0","1200","1","13*","N","0","254.2","56.2","8.4","25.6","17.7","217.0","10.2","2","Schmidt, P.W., Williams, G.E.","Tectonophys.","2003","377","7-32","http://dx.doi.org/10.1016/j.tecto.2003.08.017"
