"RES#";"ROCK";"ROCKUNIT";"CNTRY";"COMP";"CRAT";"SLAT";"SLON";"LMA";"HMA";"ISOAGE";"AGEREF";"AGEREF2";"MET";"AGE";"B";"N";"P";"R%";"D";"I";"alfa95";"k";"PLAT";"PLON";"DP";"DM";"A95";"1";"2";"3";"4";"5";"6";"PMAGREF";"COMMENT";"RECALC"
"10135";"i";"Upper-middle Lake Shore traps at mainland";"US";NULL;"Laurentia-Superior";"47.4";"272.3";"1085";"1087";"1085.57 +0.25/-0.50, 1087.2 ± 1.6";"Fairchild et al. (2017)";"Davis and Paces (1990)";"g";"1086";"10";"123";"N";"0";"277.0";"40.4";"3.7";"174.0";"21.4";"193.6";"2.7";"4.5";"3.5";"1";"1";"1";"1";"1";"0";"Kulakov et al. (2013)";NULL;"0"
"10136";"i";"Possible Abitibi dykes, Empey Lake, Mine Center";"CA";NULL;"Laurentia-Superior";"49.2";"269.2";"1080";"1180";"1141-1178, 1137 ± 20";"Ernst et al. (2006a)";NULL;"g";"1141";"8";"?";"N";"0";"290.8";"68.8";"5.2";"114.0";"47.8";"210.8";"7.5";"8.8";"8.1";"0";"1";"1";"1";"1";"0";"Ernst et al. (2006)";"Authors classify these as possible Abitibi dykes.";"0"
"10137";"i";"Possible Abitibi dykes";"CA";NULL;"Laurentia-Superior";"48.0";"281.0";"1000";"1200";"1140.6 ± 2";"Krogh et al. (1987)";NULL;"g, d";"1141";"1";"14*";"M";"?";"315.9";"62.7";"5.1";"61.0";"59.6";"194.1";"6.3";"8.0";"7.1";"0";"0";"1";"0";"1";"1";"Halls et al. (2005)";"Authors state that this may belong to the Abitibi swarm.";"0"
"10138";"i";"Jokkmokk basic rocks, anomalous";"SE";"LC";"Baltica-Rest";"66.6";"19.7";"1740";"1820";"1780 ± 49";"Welin et al. (1971)";NULL;"e/f";"1780";"2";"9";"N";"0";"307.5";"-6.5";NULL;NULL;"10.9";"253.5";NULL;NULL;NULL;"1";"0";"1";"0";"0";"0";"Piper (1980a)";"Age from Lina granites.";"0"
"10139";"i";"Rejmyre dyke";"SE";NULL;"Baltica-Rest";"58.8";"16.1";"1592";"1598";"1595 ± 3";"Söderlund et al. (2004)";NULL;"g";"1595";"1";"16*";"R";"100";"184.0";"16.3";"7.1";"28.1";"22.8";"191.8";"3.8";"7.3";"5.3";"1";"0";"1";"0";"1";"1";"Elming et al. (2014)";"Trend E-W. Equivalent to Hälleforsnäs dyke.";"0"
"10140";"s";"Aguapei sills & dykes -C";"BR";NULL;"Amazonia-Guyana";"-15.3";"301.8";"979";"983";"981 ± 2";"Elming et al. (2009a)";NULL;"c";"981";"10";"83";"C";"63";"11.3";"-57.9";"8.1";"36.6";"-64.7";"280.9";"8.8";"11.9";"10.2";"1";"1";"1";"0";"1";"1";"Elming et al. (2009a)";NULL;"0"
"10141";"s";"Aguapei sills & dykes -N";"BR";NULL;"Amazonia-Guyana";"-15.3";"301.8";"979";"983";"981 ± 2";"Elming et al. (2009a)";NULL;"c";"981";"5";"31";"N";"0";"15.8";"-54.8";"6.2";"152.2";"-65.4";"269.5";"6.2";"8.8";"7.4";"1";"1";"1";"0";"1";"1";"Elming et al. (2009a)";NULL;"0"
"10142";"s";"Aguapei sills & dykes -R";"BR";NULL;"Amazonia-Guyana";"-15.3";"301.8";"979";"983";"981 ± 2";"Elming et al. (2009a)";NULL;"c";"981";"5";"52";"R";"100";"185.8";"60.9";"17.3";"20.5";"-62.9";"292.2";"20.2";"26.5";"23.1";"1";"0";"1";"0";"1";"1";"Elming et al. (2009a)";NULL;"0"
"10143";"s";"Natkusiak formation, lower R";"CA";NULL;"Ellesmere";"72.0";"248.0";"721";"727";"723 ± 4, 718 +4/-2";"Heaman et al. (2002)";NULL;"g";"724";"7";"?";"R";"100";"80.0";"32.0";"9.0";"43.0";"-20.0";"162.0";"6.0";"10.0";"7.7";"1";"0";"1";"0";"1";"0";"Palmer et al. (1983)";NULL;"0"
"10144";"s";"Natkusiak formation, middle N";"CA";NULL;"Ellesmere";"72.0";"248.0";"721";"727";"723 ± 4, 718 +4/-2";"Heaman et al. (2002)";NULL;"g";"724";"8";"?";"N";"0";"272.0";"17.0";"13.0";"21.0";"9.0";"159.0";"6.0";"13.0";"8.8";"1";"0";"1";"0";"1";"0";"Palmer et al. (1983)";"Proved antiparallelity with upper R but not with lower R. Included in 1696.";"0"
"10145";"s";"Natkusiak formation, upper R";"CA";NULL;"Ellesmere";"72.0";"248.0";"721";"727";"723 ± 4, 718 +4/-2";"Heaman et al. (2002)";NULL;"g";"724";"6";"?";"R";"100";"88.0";"-5.0";"8.0";"70.0";"2.0";"161.0";"4.0";"8.0";"5.7";"1";"0";"1";"0";"1";"0";"Palmer et al. (1983)";"Proved antiparallelity with upper R but not with lower R. Included in 1696.";"0"
"10146";"s";"Vazhinka-Pukhta lower -N";"RU";NULL;"Karelia";"61.5";"34.0";"1729";"1829";"1900 ± 50";"Katseblin (1968)";NULL;"a, i";"1779";"?";"?";"N";"0";"350.0";"39.0";NULL;NULL;"49.9";"228.5";NULL;NULL;NULL;"0";"0";"1";"0";"1";"0";"Katseblin (1968)";NULL;"0"
"10147";"s";"Vazhinka-Pukhta upper -N";"RU";NULL;"Karelia";"61.5";"34.0";"1729";"1829";"1850-1950";"Katseblin (1968)";NULL;"a, i";"1779";"?";"?";"N";"0";"341.0";"23.0";NULL;NULL;"38.6";"238.0";NULL;NULL;NULL;"0";"0";"1";"0";"1";"1";"Katseblin (1968)";NULL;"0"
"10148";"s";"Vazhinka-Pukhta uppermost -N";"RU";NULL;"Karelia";"61.5";"34.0";"1729";"1829";"1850-1950";"Katseblin (1968)";NULL;"a, i";"1778";"?";"4";"N";"0";"345.0";"21.0";"8.0";"130.0";"38.2";"232.9";"4.4";"8.4";"6.1";"0";"0";"1";"0";"1";"1";"Katseblin (1968)";NULL;"0"
"10149";"s";"Vazhinka-Pukhta upper -R";"RU";NULL;"Karelia";"61.5";"34.0";"1728";"1828";"1850-1950";"Katseblin (1968)";NULL;"a, i";"1778";"1";"3*";"R";"100";"165.0";"-15.0";"8.0";"239.0";"35.0";"232.2";"4.2";"8.2";"5.9";"0";"0";"1";"0";"1";"1";"Katseblin (1968)";NULL;"0"
"10150";"i";"Ukrainian anorthosite -C";"UA";"Group D";"Sarmatia";"50.6";"28.6";"1740";"1770";"1767 ± 2.2";"Amelin et al. (1994)";NULL;"a, g";"1755";"3";"36*";"C";"27";"38.7";"-19.9";"7.2";"99.9";"20.5";"167.5";"4.0";"7.6";"5.5";"1";"1";"1";"1";"1";"1";"Elming et al. (2010)";"Combined 13391-13392. Some values from personal communication. Isotopic age is the upper limit due to slow cooling.";"0"
"10151";"i";"Ukrainian anorthosite -N";"UA";"Group D";"Sarmatia";"50.6";"28.6";"1740";"1770";"1767 ± 2.2";"Amelin et al. (1994)";NULL;"a, g";"1755";"2";"26*";"N";"0";"40.1";"-21.9";"9.6";"99.9";"18.9";"166.6";"5.4";"10.2";"7.4";"1";"1";"1";"1";"1";"1";"Elming et al. (2010)";"Some values from personal communication.";"0"
"10152";"i";"Ukrainian anorthosite -R";"UA";"Group D";"Sarmatia";"50.6";"28.6";"1740";"1770";"1767 ± 2.2";"Amelin et al. (1994)";NULL;"a, g";"1755";"1";"10*";"R";"100";"216.0";"15.8";"4.8";"99.9";"23.5";"169.2";"2.5";"4.9";"3.5";"1";"0";"1";"1";"1";"1";"Elming et al. (2010)";"Some values from personal communication. Isotopic age is the upper limit due to slow cooling.";"0"
"10153";"s";"Nyborg formation";"NO";"LT";"Baltica-Rest";"70.1";"28.7";"603";"703";;"APWP";"Torsvik et al. (1995)";"a, e/f";"653";"1";"9*";"N";"0";"20.8";"73.9";"9.3";"31.5";"76.8";"157.9";"15.1";"16.8";"15.9";"0";"0";"1";"0";"1";"0";"Torsvik et al. (1995a)";NULL;"0"
"10154";"s";"Nyborg formation";"NO";"IT";"Baltica-Rest";"70.1";"28.7";"603";"703";;"APWP";"Torsvik et al. (1995)";"a, e/f";"653";"1";"5*";"N";"0";"47.3";"82.3";"18.0";"19.1";"75.5";"78.5";"34.2";"35.1";"34.6";"0";"0";"1";"0";"1";"0";"Torsvik et al. (1995a)";NULL;"0"
"10155";"i";"Olkiluoto diabases";"FI";NULL;"Baltica-Rest";"61.2";"21.5";"1520";"1620";NULL;"APWP";NULL;"a, m";"1560";"2";"14";"N";"0";"5.1";"-0.4";NULL;NULL;"28.5";"195.8";NULL;NULL;NULL;"0";"0";"1";"0";"1";"0";"Mertanen (2008)";NULL;"0"
"10156";"i";"Olkiluoto pegmatite";"FI";"PE";"Baltica-Rest";"61.2";"21.5";"1200";"1700";NULL;"APWP";NULL;"a, m";"1548";"1";"5*";"N";"0";"27.9";"-30.4";"23.9";"11.1";"8.8";"175.2";"14.8";"26.6";"22.7";"0";"0";"1";"0";"1";"0";"Mertanen (2008)";"Age from APWP, can also be baked by post-Jotnian rocks (1260 Ma) or Eura rapakivi";"0"
"10157";"i";"Sjunnaryd sill & baked Almesåkra sediment";"SE";"Sib";"Baltica-Rest";"57.7";"14.8";"940";"980";NULL;"APWP";NULL;"a, m";"960";"1";"8*";"N";"0";"308.1";"-31.2";"9.2";"37.6";"4.0";"243.6";"5.8";"10.3";"7.7";"0";"0";"1";"1";"1";"0";"Pesonen and Klein (2013)";"This may be same as Nilstorp sill (966 ± 5 Ma)";"0"
"10158";"i";"Almesåkra unbaked sandstone";"SE";NULL;"Baltica-Rest";"57.7";"14.8";"900";"1280";NULL;"APWP";NULL;"a, m";"980";"1";"2*";"R";"100";"138.9";"56.1";NULL;NULL;"-10.5";"227.2";NULL;NULL;NULL;"0";"0";"1";"0";"1";"0";"Pesonen and Klein (2013)";"Age is an APWP interpretation";"0"
"10159";"i";"Teåker red sediment of Dals group";"SE";NULL;"Baltica-Rest";"58.8";"12.3";"900";"1200";NULL;"APWP";NULL;"a, m";"1100";"1";"8*";"N";"0";"351.0";"-5.6";"11.1";"25.8";"25.7";"203.2";"5.6";"11.1";"7.9";"0";"0";"1";"0";"1";"0";"Pesonen and Klein (2013)";"Age is an APWP interpretation. This sediment overlies the 1250 Ma granite";"0"
"10160";"i";"Korosten anorthosites -C";"UA";NULL;"Sarmatia";"50.5";"29.0";"1758";"1759";"1758 ± 1 ";"Amelin et al. (1994)";NULL;"g";"1759";"9";"107";"C";"55";"35.7";"-15.2";"6.4";"65.0";"24.1";"169.7";"3.4";"6.6";"4.7";"1";"1";"1";"0";"1";"1";"Elming et al. (2001)";NULL;"0"
"10161";"i";"Korosten anorthosites -R";"UA";NULL;"Sarmatia";"50.7";"28.7";"1758";"1759";"1758 ± 1 ";"Amelin et al. (1994)";NULL;"g";"1759";"5";"54";"R";"100";"211.4";"13.3";"6.0";"99.9";"26.5";"173.5";"3.1";"6.1";"4.4";"1";"1";"1";"0";"1";"1";"Elming et al. (2001)";NULL;"0"
"10162";"i";"Korosten anorthosites -N";"UA";NULL;"Sarmatia";"50.3";"29.3";"1758";"1759";"1758 ± 1 ";"Amelin et al. (1994)";NULL;"g";"1759";"4";"53";"N";"0";"41.1";"-17.5";"13.5";"47.5";"20.8";"165.2";"7.2";"14.0";"10.1";"1";"1";"1";"0";"1";"1";"Elming et al. (2001)";NULL;"0"
"10163";"i";"Taivalkoski dyke";"FI";"WD";"Karelia";"65.6";"28.9";"2320";"2460";"2407 ± 35	";"Salminen et al. (2014)";NULL;"h";"2407";"3";"60";"N";"0";"94.5";"58.7";"19.6";"12.7";"-33.5";"276.4";"21.6";"29.1";"25.1";"1";"1";"0";"1";"1";"0";"Salminen et al. (2014a)";"This is mean of WD data listed in paper. It is a VGP.";"0"
"10164";"i";"Taivalkoski dyke";"FI";"AD'";"Karelia";"65.5";"28.1";"2321";"2357";"2339 ± 18";"Salminen et al. (2014)";NULL;"h";"2339";"1";"9*";"N";"0";"134.5";"-7.3";"8.8";"35.2";"20.4";"257.3";"4.5";"8.9";"7.6";"1";"0";"1";"0";"1";"0";"Salminen et al. (2014a)";"Component D' isolated only from baked host rocks. It is a VGP.";"0"
"10165";"i";"Taivalkoski overprint in dyke";"FI";"SvF";"Karelia";"65.5";"28.1";"1870";"1890";NULL;"APWP";NULL;"a, m";"1880";"1";"35*";"N";"0";"343.7";"41.0";"3.2";"59.7";"47.0";"230.3";"2.4";"3.9";"3.2";"0";"1";"0";"0";"1";"0";"Salminen et al. (2014a)";"Isolated as low Tub-Hcr comp. in dyke AD.";"0"
"10166";"i";"Taivalkoski overprint in host rock";"FI";"SvF";"Karelia";"65.5";"28.1";"1870";"1890";NULL;"APWP";NULL;"a, m";"1880";"1";"4*";"R";"100";"150.1";"-52.7";"14.3";"74.9";"53.8";"252.1";"13.6";"19.7";"14.9";"0";"0";"0";"0";"1";"0";"Salminen et al. (2014a)";"In host migmatite.";"0"
"10167";"i";"Gallejaur gabbro";"SE";NULL;"Baltica-Rest";"65.2";"19.4";"1815";"1915";"1876 ± 4";"Skiöld et al. (1993)";NULL;"g";"1865";"2";"12";"N";"0";"341.0";"41.0";NULL;NULL;"47.0";"225.0";NULL;NULL;NULL;"0";"0";"1";"0";"0";"0";"Elming (1994)";NULL;"0"
"10168";"i";"Bastutjarn gabbro";"SE";NULL;"Baltica-Rest";"65.0";"19.6";"1820";"1920";;"APWP";NULL;"a, m";"1870";"3";"13";"N";"0";"343.0";"48.0";"15.8";"26.0";"53.0";"224.0";"13.0";"21.0";"16.5";"0";"0";"1";"0";"0";"0";"Elming (1994)";NULL;"0"
"10169";"i";"Nasberg gabbro";"SE";NULL;"Baltica-Rest";"65.3";"20.1";"1820";"1920";;"APWP";NULL;"a, m";"1870";"3";"14";"N";"0";"344.0";"35.0";"9.8";"14.6";"43.0";"221.0";"7.0";"11.0";"8.8";"0";"0";"1";"0";"0";"0";"Elming (1994)";NULL;"0"
"10170";"i";"Dharwar dykes A -C";"IN";"A";"India-Dharwar";"12.6";"77.3";"2341";"2391";"2367 ± 1";"Halls et al. (2007)";NULL;"g";"2367";"9";"73";"C";"13";"112.8";"-82.7";"8.7";"41.3";"-17.8";"243.4";"16.6";"17.0";"16.8";"1";"1";"1";"1";"1";"1";"Halls et al. (2007)";NULL;"0"
"10171";"i";"Dharwar dykes A -N";"IN";"A";"India-Dharwar";"12.7";"77.4";"2341";"2391";"2367 ± 1";"Halls et al. (2007)";NULL;"g";"2367";"7";"68";"N";"0";"94.9";"-80.0";"7.3";"68.6";"-13.6";"239.2";"13.4";"14.0";"13.7";"1";"1";"1";"1";"1";"1";"Halls et al. (2007)";NULL;"0"
"10172";"i";"Dharwar dykes A -R";"IN";"A";"India-Dharwar";"11.9";"77.0";"2341";"2391";"2367 ± 1";"Halls et al. (2007)";NULL;"g";"2367";"2";"5*";"R";"100";"29.5";"70.2";"5.5";"196.0";"-41.3";"279.3";"8.2";"9.5";"8.8";"1";"0";"1";"1";"1";"1";"Halls et al. (2007)";NULL;"0"
"10173";"i";"Skellefte group volcanics";"SE";"12";"Baltica-Rest";"65.0";"19.7";"1736";"1836";"1786 ± 10";"APWP";"Hellström and Larson (2003)";"a, g";"1786";"1";"3*";"N";"0";"341.0";"20.0";"15.8";"26.0";"34.0";"222.0";"9.0";"17.0";"12.4";"0";"0";"1";"0";"1";"0";"Elming (1994)";"Age readjusted to match that of Hoting gabbro. U-Pb age from Hoting.";"0"
"10174";"i";"Skellefte group volcanics";"SE";"11b";"Baltica-Rest";"65.3";"19.5";"1736";"1836";"1786 ± 10";"APWP";"Hellström and Larson (2003)";"a, g";"1786";"1";"5*";"N";"0";"341.0";"45.0";"14.7";"18.0";"50.0";"226.0";"12.0";"19.0";"15.1";"0";"0";"1";"0";"1";"0";"Elming (1994)";"Age readjusted to match that of Hoting gabbro. U-Pb age from Hoting.";"0"
"10175";"i";"Skellefte group volcanics";"SE";"11a";"Baltica-Rest";"65.3";"19.5";"1800";"1900";;"APWP";NULL;"a, m";"1850";"1";"3*";"N";"0";"356.0";"14.0";"9.9";"67.0";"32.0";"204.0";"5.0";"10.0";"7.1";"0";"0";"1";"0";"1";"0";"Elming (1994)";NULL;"0"
"10176";"i";"Skellefte group volcanics";"SE";"10";"Baltica-Rest";"65.3";"19.5";"1800";"1900";;"APWP";NULL;"a, m";"1850";"1";"5*";"N";"0";"4.0";"12.0";"8.4";"56.0";"31.0";"195.0";"4.0";"9.0";"6.0";"0";"0";"1";"0";"1";"0";"Elming (1994)";NULL;"0"
"10177";"i";"Nabrejarka gabbro-diabase";"SE";NULL;"Baltica-Rest";"67.4";"19.0";"1790";"1890";;"APWP";NULL;"a, m";"1840";"3";"24";"N";"0";"342.0";"48.0";"1.3";"483.2";"50.0";"224.0";"1.0";"2.0";"1.4";"0";"0";"1";"0";"1";"0";"Elming (1994)";NULL;"0"
"10178";"i";"Söndagsåsen dolerite";"SE";"grp. D";"Baltica-Rest";"61.0";"15.6";"1450";"1550";NULL;"APWP";NULL;"a, m";"1500";"1";"6*";"N";"0";"359.0";"0.0";"7.0";"61.0";"29.0";"196.0";"4.0";"7.0";"5.3";"0";"0";"1";"0";"1";"0";"Bylund and Elming (1992)";;"0"
"10179";"s";"Puga Cap carbonate";"BR";"B";"Amazonia-Guyana";"-15.0";"302.0";"560";"600";NULL;"APWP";NULL;"a, m";"580";"16";"74";"N";"0";"25.7";"55.4";"7.0";"28.9";"33.6";"326.9";"7.1";"10.0";"8.4";"0";"1";"1";"0";"0";"0";"Trindade et al. (2003)";NULL;"0"
"10180";"i";"Dharwar E-W dykes -C";"IN";"'2.37'";"India-Dharwar";"13.4";"77.2";"2341";"2391";"2367 ± 1";"Halls et al. (2007)";NULL;"g";"2367";"7";"54";"C";"15";"124.5";"-78.5";"12.4";"24.8";"-25.3";"237.1";"22.1";"23.4";"22.7";"1";"1";"1";"1";"1";"1";"Piispa et al. (2011)";"One dyke can be of 1030 Ma?";"0"
"10181";"i";"Dharwar E-W dykes -N";"IN";"'2.37'";"India-Dharwar";"13.8";"77.2";"2341";"2391";"2367 ± 1";"Halls et al. (2007)";NULL;"g";"2367";"5";"46";"N";"0";"94.2";"-74.1";"9.4";"67.8";"-14.0";"226.7";"15.3";"16.9";"16.1";"1";"1";"1";"1";"1";"1";"Piispa et al. (2011)";"One dyke can be of 1030 Ma?";"0"
"10182";"i";"Dharwar E-W dykes -R";"IN";"'2.37'";"India-Dharwar";"12.5";"77.3";"2341";"2391";"2367 ± 1";"Halls et al. (2007)";NULL;"g";"2367";"1";"4*";"R";"100";"22.0";"71.9";"30.8";"9.9";"-42.6";"273.5";"47.8";"54.2";"50.9";"1";"0";"1";"0";"1";"1";"Piispa et al. (2011)";"One dyke is 2180 Ma according to Kumar et al. (2012) and not included in this entry.";"0"
"10183";"i";"Niemisel dykes";"SE";NULL;"Baltica-Rest";"66.0";"22.1";"1787";"1887";"1530-1770";"APWP";"Pesonen et al. (1991)";"a, e/f, d";"1837";"2";"10";"N";"0";"342.8";"32.8";NULL;NULL;"40.5";"223.8";NULL;NULL;NULL;"0";"0";"1";"0";"1";"0";"Piper (1980a)";NULL;"0"
"10184";"i";"Niemisel gabbro";"SE";NULL;"Baltica-Rest";"66.0";"22.1";"1786";"1886";"1530-1770";"APWP";"Pesonen et al. (1991)";"a, e/f, d";"1836";"2";"14";"N";"0";"337.9";"37.0";NULL;NULL;"42.4";"230.6";NULL;NULL;NULL;"0";"0";"1";"0";"0";"0";"Piper (1980a)";NULL;"0"
"10185";"i";"Noppikoski porphyry";"SE";"grp. D";"Baltica-Rest";"61.3";"14.6";"1450";"1550";NULL;"APWP";NULL;"a, m";"1500";"1";"10*";"N";"0";"12.0";"17.0";"19.0";"6.0";"37.0";"180.0";"10.0";"20.0";"14.1";"0";"0";"1";"0";"1";"0";"Bylund and Elming (1992)";;"0"
"10186";"i";"Orijärvi amphibolites";"FI";NULL;"Baltica-Rest";"60.2";"23.5";"1450";"1550";NULL;"APWP";NULL;"a, m";"1500";"1";"3*";"N";"0";"86.0";"59.3";"12.5";"98.9";"35.8";"93.8";"14.0";"18.7";"16.2";"0";"0";"0";"0";"1";"0";"Grundström (1967)";"Odd direction.";"0"
"10187";"i";"Oskarhamn-Alsterbo dolerites";"SE";NULL;"Baltica-Rest";"57.0";"16.0";"1420";"1520";NULL;"APWP";NULL;"a, m";"1470";"3";"18";"R";"100";"204.9";"41.1";"19.2";"42.5";"6.8";"173.2";"14.1";"23.3";"18.1";"0";"0";"1";"1";"1";"0";"Pisarevsky and Bylund (2010)";NULL;"0"
"10188";"i";"Monchegorsk picrite and country rock";"RU";"C";"Kola";"68.0";"32.5";"1800";"2200";NULL;"APWP";NULL;"a, m";"2000";"3";"8";"R";"100";"256.9";"40.4";"8.6";"33.2";"16.6";"323.3";"6.3";"10.4";"8.1";"0";"0";"1";"0";"0";"0";"Fedotova et al. (1999)";NULL;"0"
"10189";"s";"Kwagunt formation, Grand Canyon Springs";"US";NULL;"Laurentia-Yavapai";"36.3";"248.3";"736";"748";"	742 ± 6";"Karlstrom et al. (2000)";NULL;"g";"742";"14";"?";"R";"100";"269.0";"9.0";"7.9";"26.5";"1.9";"162.4";"4.0";"8.0";"5.6";"0";"1";"1";"0";"1";"0";"Elston et al. (2002)";"Age from Karlstrom et al. (2000), see also Weil et al. (2004). Inclination corrected from -9.0° to +9.0° due to error in publication.";"1"
"10190";"i";"Timbavati gabbro -C";"ZA";NULL;"Kalahari";"-24.4";"31.4";"1101";"1122";"1111.5 ± 0.4";"Hanson et al. (2004a)";NULL;"g";"1112";"12";"103";"C";"92";"190.0";"0.6";"7.1";"38.8";"64.0";"54.7";"3.5";"7.1";"5.0";"1";"1";"1";"0";"1";"1";"Gose et al. (2006)";"Data from Gose et al. (2006), Seidel (2004), Hargraves et al. (1994) and Henthorn (1981), tabulated by Gose et al. (2006).";"0"
"10191";"i";"Timbavati gabbro -N";"ZA";NULL;"Kalahari";"-24.6";"31.4";"1102";"1122";NULL;"APWP";"Hanson et al. (2004a)";"a, g";"1112";"1";"8*";"N";"0";"20.5";"-3.7";"16.2";"12.7";"59.9";"75.5";"8.1";"16.2";"11.5";"0";"0";"1";"0";"1";"1";"Gose et al. (2006)";"Data from Gose et al. (2006) and Seidel (2004), tabulated by Gose et al. (2006).";"0"
"10192";"i";"Timbavati gabbro -R";"ZA";NULL;"Kalahari";"-24.4";"31.4";"1111";"1112";"1111.5 ± 0.4";"Hanson et al. (2004a)";NULL;"g";"1112";"11";"95";"R";"100";"189.0";"0.3";"7.5";"37.8";"64.2";"52.6";"3.8";"7.5";"5.3";"1";"1";"1";"0";"1";"1";"Gose et al. (2006)";"Data from Gose et al. (2006), Seidel (2004), Hargraves et al. (1994) and Henthorn (1981), tabulated by Gose et al. (2006).";"0"
"10193";"i";"Rämshyttan dolerite";"SE";"grp. C";"Baltica-Rest";"60.3";"15.0";"1350";"1450";NULL;"APWP";NULL;"a, m";"1400";"1";"6*";"N";"0";"10.0";"-10.0";"12.0";"25.0";"24.0";"184.0";"6.0";"12.0";"8.5";"0";"0";"1";"0";"1";"0";"Bylund and Elming (1992)";NULL;"0"
"10194";"i";"Valaam sill";"RU";NULL;"Karelia";"61.4";"30.9";"1454";"1462";"1458 ± 4";"Iglesia Llanos et al. (2005)";NULL;"g";"1458";"3";"49";"N";"0";"29.6";"-10.8";"5.0";"615.0";"19.3";"179.2";"2.6";"5.1";"3.6";"1";"1";"1";"0";"1";"0";"Lubnina et al. (2010a)";NULL;"0"
"10195";"i";"Shoksha basalt";"RU";"C";"Karelia";"61.3";"35.4";"1150";"1250";NULL;"APWP";NULL;"a, m";"1200";"1";"3*";"N";"0";"109.6";"39.5";"12.4";"39.5";"10.8";"97.9";"8.9";"14.9";"11.5";"0";"0";"1";"0";"1";"0";"Damm et al. (1997)";"Odd direction. Sampling site slightly readjusted.";"1"
"10196";"i";"Shoksha-Sheltozero diabases";"RU";"2";"Karelia";"61.3";"35.5";"1731";"1771";"1751 ± 3, 1770 ± 12";"Lubnina et al. (2012)";"Bibikova et al. (1990)";"g";"1751";"1";"3*";"N";"0";"356.6";"18.0";"11.2";"46.0";"37.7";"219.7";"10.4";"5.4";"7.5";"1";"0";"1";"0";"1";"0";"Khramov et al. (1997b)";"Sampling site readjusted.";"1"
"10197";"i";"Shoksha-Sheltozero quartz-diabases";"RU";"2";"Karelia";"61.3";"35.5";"1731";"1771";"1751 ± 3, 1770 ± 12";"Lubnina et al. (2012)";"Bibikova et al. (1990)";"g";"1751";"3";"8";"N";"0";"1.0";"10.7";"11.3";"19.2";"33.9";"214.3";"10.3";"5.2";"8.4";"1";"0";"1";"0";"1";"0";"Khramov et al. (1997b)";"Sampling site readjusted.";"1"
"10198";"i";"Shoksha baked sediments, Rybreka";"RU";NULL;"Karelia";"61.5";"34.0";"1701";"1801";NULL;"APWP";NULL;"a, m";"1751";"1";"4";"N";"0";"8.0";"38.0";NULL;NULL;"49.5";"202.5";NULL;NULL;NULL;"0";"0";"1";"1";"1";"0";"Katseblin (1968)";NULL;"0"
"10199";"i";"Tolstik amphibolites & gabbros, complex 1";"RU";NULL;"Kola/Belo";"66.8";"32.4";"2310";"2390";"2434 ± 6.8";"Bogdanova and Bibikova (2003)";NULL;"g";"2434";"3";"4";"R";"100";"253.4";"-43.1";"22.5";"12.5";"-29.6";"307.2";"17.3";"27.9";"22.0";"1";"0";"1";"0";"0";"0";"Khramov et al. (1997b)";"Since in Belomoridian belt, AV5=0";"0"
"10200";"s";"Cuddapah - Banganapalli quartzite -C";"IN";NULL;"India-Dharwar";"15.7";"79.1";"515";"615";NULL;"Goutham et al. (2006)";NULL;"s, c";"565";"13";"54*";"C";"50";"7.0";"1.3";"5.2";"15.0";"73.5";"233.6";"2.6";"5.2";"3.7";"0";"1";"1";"0";"1";"1";"Goutham et al. (2006)";"Baghain is oldest, then Upper Kaimur, then Banganapalli (~Rewa), then Narji (~Rewa).";"0"
"10201";"s";"Cuddapah - Banganapalli quartzite -N";"IN";NULL;"India-Dharwar";"15.7";"79.1";"515";"615";NULL;"Goutham et al. (2006)";NULL;"s, c";"565";"10";"27*";"N";"0";"3.1";"0.5";"6.7";"18.1";"74.6";"247.3";"3.4";"6.7";"4.7";"0";"1";"1";"0";"1";"1";"Goutham et al. (2006)";"Baghain is oldest, then Upper Kaimur, then Banganapalli (~Rewa), then Narji (~Rewa).";"0"
"10202";"s";"Cuddapah - Banganapalli quartzite -R";"IN";NULL;"India-Dharwar";"15.7";"79.1";"515";"615";NULL;"Goutham et al. (2006)";NULL;"s, c";"565";"7";"27*";"R";"100";"190.9";"-2.1";"8.0";"13.1";"72.0";"221.2";"4.0";"8.0";"5.7";"0";"1";"1";"0";"1";"1";"Goutham et al. (2006)";"Baghain is oldest, then Upper Kaimur, then Banganapalli (~Rewa), then Narji (~Rewa).";"0"
"10203";"s";"Cuddapah - Narji limestone";"IN";NULL;"India-Dharwar";"16.7";"79.8";"510";"610";NULL;"Goutham et al. (2006)";NULL;"s, c";"560";"2";"7*";"N";"0";"3.4";"-20.7";"7.1";"73.6";"62.4";"252.6";"3.9";"7.5";"5.4";"0";"0";"1";"0";"1";"0";"Goutham et al. (2006)";"Baghain is oldest, then Upper Kaimur, then Banganapalli (~Rewa), then Narji (~Rewa).";"0"
"10204";"s";"Upper Kaimur Dicken sandstone";"IN";NULL;"India-Bundelkhand";"24.4";"75.8";"700";"800";NULL;"Poornachandra Rao et al. (2005)";NULL;"s, c";"750";"4";"21";"N";"0";"356.0";"62.0";"11.8";"35.1";"70.9";"66.9";"18.4";"14.3";"16.2";"0";"0";"1";"0";"1";"0";"Poornachandra Rao et al. (2005)";"Location determined from maps and geology. I is steeper than that of Dhandraul.";"0"
