,Terrane,ROCKNAME,-10.3,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1, POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Overlap_Comment,Pole_citation_code,Geochron_citation_code,Notes_Changes_from_Leirubakki,Plate_ID
76,Laurentia,"Mamainse Point volcanics -C (lower N, upper R)",new,,"G*+,Ro",100.0,47.1,275.3,24.0,96.0,293.8,47.1,47.1,34.0,0.1,36.1,189.7,4.9,4.9,4.9,1.0,47.1,36.1,189.7,4.9,4.9,4.9,42,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,1101.0,1100.0,1102.0,"1100.36±0.25 U-Pb z , Swanson-Hysell et al. 2014 Geology","Mamainse Point volcanics -C (lower N, upper R)","Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014.0,Geology,42,475-478,,,\cite{Swanson-Hysell2014a},,,1000
77,Laurentia,North Shore lavas -N,new,"recalculated from all N lavas, excluding intrusives, sites above unconformity",Ro,100.0,46.3,268.7,61.0,279.0,293.9,44.0,44.0,41.9,0.1,31.1,181.7,2.1,2.1,2.1,1.0,44.0,31.1,181.7,2.1,2.1,2.1,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,A,1097.0,1094.0,1100.0,"1098.4±2.0; 1096.6±1.8, Tauxe, L., Kodama, K.P., 2009",North Shore lavas -N,"Tauxe, L., Kodama, K.P.",2009.0,Phys. Earth Plan. Int.,177,31-45,,,"\cite{Tauxe2009a,Swanson-Hysell2019a}",,add data from Swanson-Hysell et al. 2019,1000
78,Laurentia,Chengwatana Volcanics,8163,,Ro,100.0,45.400002,267.300003,8.0,60.0,287.5,45.8,45.8,48.5,8.0,30.9,186.1,6.5,10.3,8.182297965730655,1.0,45.8,30.9,186.1,6.5,10.3,8.182297965730655,25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,B,1095.0,1093.0,1097.0,"1094.6±2.1, Zartman+97",Chengwatana Volcanics,"Kean,W.F., Williams.,I., Chan,L., Feeney,J.",1997.0,Geophys.Res.Lett.,24,1523-1526,"Magnetism of the Keweenawan age Chengwatana lava flows, northwest Wisconsin",,\cite{Kean1997a},,,1000
79,Laurentia,Portage Lake Volcanics,new,A (MAG),"G*+, F+",100.0,47.0,271.2,28.0,1000.0,291.2,31.3,31.3,24.5,5.6,27.5,182.5,2.3,2.3,2.3,1.0,31.3,27.5,182.5,2.3,2.3,2.3,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1095.0,1092.0,1098.0,"1095±3, Davis+Paces 90",Portage Lake Volcanics,Hnat et al.,2006.0,Tectonophysics,425,,,,"\cite{Books1972a, Hnat2006a} as calculated in \cite{Swanson-Hysell2019a}",,updated pole based on calculation made in Swanson-Hysell et al. 2019,1000
80,Laurentia,Uppermost Mamainse Point volcanics -N,new,,"G*+,R+",100.0,47.1,275.3,34.0,198.0,293.7,37.5,37.5,92.0,0.1,31.2,183.2,2.5,2.5,2.5,1.0,37.5,31.2,183.2,2.5,2.5,2.5,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,A,1094.0,1090.0,1100.0,"1097; comparison to N Shore volcanic group, Swanson-Hysell et al. 2014 Geology",Uppermost Mamainse Point volcanics -N,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014.0,Geology,42,475-478,,,\cite{Swanson-Hysell2014a},,update ages based on Swanson-Hysell et al. 2019,1000
81,Laurentia,Cardenas Basalts and Intrusions,9073,,"Co,Fo",100.0,36.080002,248.129997,16.0,114.0,285.5,57.0,57.0,33.900002,6.4,32.0,185.0,6.8,9.3,7.952358140828418,1.0,57.0,32.0,185.0,6.8,9.3,7.952358140828418,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,B,1091.0,1086.0,1096.0,"1091±5, GPMDB4.6",Cardenas Basalts and Intrusions,"Weil,A.B., Geissman,J.W., Heizler,M., Van der Voo,R.",2003.0,Tectonophysics,375,199-220,"Paleomagnetism of Middle Proterozoic mafic intrusions and Upper Proterozoic (Nankoweap) red beds from the Lower Grand Canyon Supergroup, Arisona",,\cite{Weil2003a},,,1000
82,Laurentia,Schroeder Lutsen Basalts,new,,,100.0,47.5,269.1,50.0,378.0,282.8,42.4,42.4,39.6,3.2,27.1,187.8,3.0,3.0,3.0,1.0,42.4,27.1,187.8,3.0,3.0,3.0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,A,1090.0,1083.0,1092.0,Unit is younger than 1091.61 ± 0.14 Ma (U-Pb date on intrusion that is unconformably overlain),Schroeder Lutsen Basalts,"Fairchild, Luke M. and Swanson-Hysell, Nicholas L. and Ramezani, Jahandar and Sprain, Courtney J. and Bowring, Samuel A.",2017.0,Lithosphere,9,117-133,The end of Midcontinent Rift magmatism and the paleogeography of Laurentia,,\cite{Fairchild2017a},,,1000
83,Laurentia,Central Arizona diabases -N,new,"note also R group: 4 dykes very steep up (poor A95) + one antipodal direction dyke for each N, R group",,0.0,33.7,249.2,13.0,139.0,274.8,38.7,38.7,30.4,7.6,15.7,175.3,5.4,9.1,7.009992867328753,1.0,38.7,15.7,175.3,5.4,9.1,7.009992867328753,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,A,1088.0,1077.0,1099.0,"1088±11 in Donadini+12 ext abst (ignoring the 1085 age due to problems with that site, two polarities, 2 ages), Donadini et al 2011",Central Arizona diabases -N,"Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.",2011.0,Geophysica,47,,,,\cite{Donadini2011b},,,1000
84,Laurentia,Lake Shore Traps,new,incorporates Diehl et al 1994 CJES,(C+ from Palmer+81; F+ implicit in good grouping after tilt-correction),100.0,47.599998,271.900002,31.0,374.0,283.0,35.7,35.7,1000.0,0.1,23.1,186.4,4.0,4.0,4.0,1.0,35.7,23.1,186.4,4.0,4.0,4.0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,A,1086.0,1085.0,1087.0,"1085.67 ± 0.2 date in andesite, Fairchild et al. 2017",Lake Shore Traps,"Kulakov, E.V., Smirnov, A.V., Diehl, J.F.",2013.0,Canad.J.Earth Sci.,50,1085-1096,,,\cite{Kulakov2013a},,update ages based on Swanson-Hysell et al. 2019,1000
85,Laurentia,Michipicoten Island Formation,new,,,100.0,47.7,274.3,23.0,193.0,288.3,12.0,12.0,30.0,5.6,17.0,174.7,4.4,4.4,4.4,1.0,12.0,17.0,174.7,4.4,4.4,4.4,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,A,1084.0,1083.0,1085.0,"All VGPs between U-Pb zircon dates of 1084.35 ± 0.20 Ma and 1083.52 ± 0.23
Ma; Fairchild et al. 2017",Michipicoten Island Formation,"Fairchild, Luke M. and Swanson-Hysell, Nicholas L. and Ramezani, Jahandar and Sprain, Courtney J. and Bowring, Samuel A.",2017.0,Lithosphere,9,117-133,The end of Midcontinent Rift magmatism and the paleogeography of Laurentia,,\cite{Fairchild2017a},,,1000
86,Laurentia,Nonesuch Shale,2053,,Fo,100.0,47.0,271.5,11.0,27.0,276.799988,8.1,8.1,35.0,7.8,7.6,178.100006,3.9,7.8,5.5154328932550705,0.6,13.3,9.6,181.2,4.1,8.0,5.7,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,B,1080.0,1070.0,1084.0,", Wingate+02 est",Nonesuch Shale,"Henry,S.G., Mauk,F.J., Van der Voo,R.",1977.0,Canad.J.Earth Sci.,14,1128-1138,Paleomagnetism of the Upper Keweenawan sediments: the Nonesuch Shale and Freda Sandstone,,\cite{Henry1977a},,update ages based on Swanson-Hysell et al. 2019,1000
87,Laurentia,Freda Sandstone,2051,High temp.,Fo,100.0,47.0,271.5,20.0,85.0,272.399994,1.5,1.5,32.0,5.9,2.2,179.0,3.0,5.9,4.207136793592526,0.6,2.5,2.6,180.6,3.0,5.9,4.2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,B,1070.0,1060.0,1084.0,"looser age constraints than listed in GPMDB4.6, Wingate+02 est",Freda Sandstone,"Henry,S.G., Mauk,F.J., Van der Voo,R.",1977.0,Canad.J.Earth Sci.,14,1128-1138,Paleomagnetism of the Upper Keweenawan sediments: the Nonesuch Shale and Freda Sandstone,Overlaps with Cambrian,\cite{Henry1977a},,update ages based on Swanson-Hysell et al. 2019,1000
88,Laurentia,Haliburton Intrusions,9165,A Component,,0.0,45.0,281.400002,17.0,59.0,277.5,-71.800003,71.800003,23.0,3.8,-32.599998,141.899994,5.9,6.7,6.287288763847259,1.0,-71.800003,-32.599998,141.899994,5.9,6.7,6.287288763847259,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,B,1015.0,1000.0,1030.0,"ok, GPMDB4.6",Haliburton Intrusions,"Warnock,A.C., Kodama,K.P., Zeitler,P.K.",2000.0,J.Geophys.Res.,105,19435-19453,Using thermochronometry and low-temperature demagnetization to accurately date Precambrian paleomagnetic poles,Overlaps with steep Ediacaran,\cite{Warnock2000a},,,1000
89,Laurentia,Adirondack Microcline gneiss,,,,,44.0,285.0,,,,,,,,-18.4,151.1,9.3,11.8,10.475686135046239,,,,,,,,,,,,,,,,,,,,,NR,960.0,940.0,980.0,cooling age estimate,,,,,,,,,\cite{Brown2012a},,,1000
90,Laurentia,"Adirondack metamorphic
anorthosites",,,,,44.0,286.0,,,,,,,,-25.1,149.0,10.6,12.7,11.602585918664856,,,,,,,,,,,,,,,,,,,,,NR,970.0,950.0,990.0,cooling age estimate,,,,,,,,,\cite{Brown2012a},,,1000
91,Laurentia,Adirondack fayalite granite,,,,,44.0,285.5,,,,,,,,-28.4,132.7,6.7,7.2,6.945502141674136,,,,,,,,,,,,,,,,,,,,,NR,990.0,970.0,1010.0,cooling age estimate,,,,,,,,,\cite{Brown2012a},,,1000
92,Laurentia-Scotland,Torridon Group,NEW,"sample-weighted mean of (Irving+Runcorn 57, Stewart+Irving 74, Smith+83, Torsvik+Sturt 87, Potts 90, Williams+Schmidt 97, Borradaile+Geneviciene 08)",many,100.0,57.9,354.3,,880.0,119.6,56.7,56.7,1000.0,0.1,-17.7,220.9,7.1,7.1,7.1,0.6,68.5,30.2,32.8,7.1,7.1,7.1,MIXED,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,B,925.0,780.0,1070.0,,MEAN Torridon Group,LULEÅ WORKING GROUP MEAN,2009.0,,,,,Overlaps with Long Range Dikes,Nordic workshop calculation,,,10258
93,Laurentia-Svalbard,Lower Grusdievbreen Formation,new,,Fo,100.0,79.0,18.0,4.0,53.0,354.4,16.1,16.1,39.9,14.7,19.6,204.9,7.8,15.1,10.852649446103012,0.8,19.8,21.2,203.9,8.0,15.4,11.1,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,B,830.5,811.0,850.0,"pre-Bitter Springs, authors",Lower Grusdievbreen Formation,"Maloof,A.C., Halverson,G.P., Kirschvink,J.L., Schrag,D.P., Weiss,B.P., Hoffman,P.F.",2006.0,Geol.Soc.Am.Bulletin,118,1099-1124,"Combined paleomagnetic, isotopic, and stratigraphic evidence for true polar wander from the Neoproterozoic Akademikerbreen Group, Svalbard, Norway",,\cite{Maloof2006a},,,10296
94,Laurentia-Svalbard,Upper Grusdievbreen Formation,new,,Fo,100.0,78.9,18.2,5.0,107.0,126.3,14.7,14.7,84.2,8.4,-1.1,252.6,4.4,8.6,6.151422599691879,0.8,18.2,2.7,71.0,4.5,8.7,6.3,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,B,800.0,789.0,811.0,"789-811, authors",Upper Grusdievbreen Formation,"Maloof,A.C., Halverson,G.P., Kirschvink,J.L., Schrag,D.P., Weiss,B.P., Hoffman,P.F.",2006.0,Geol.Soc.Am.Bulletin,118,1099-1124,"Combined paleomagnetic, isotopic, and stratigraphic evidence for true polar wander from the Neoproterozoic Akademikerbreen Group, Svalbard, Norway",,\cite{Maloof2006a},,,10296
95,Laurentia,Gunbarrel dikes,new,"site-weighted mean of 3 studies (Tobacco Root B, Christmas Lake, Mt Moran)",,0.0,44.8,248.7,14.0,228.0,300.8,-18.8,18.8,1000.0,0.1,9.1,138.2,12.0,12.0,12.0,,,,,,,,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,B,778.0,776.0,780.0,"778+/-2, GPMDB4.6","MEAN Wyoming ""Gunbarrel"" dykes",LULEÅ WORKING GROUP MEAN,2009.0,,,,,Overlaps with Paleozoic,"Calculation from \cite{Eyster2019a} based on data of \cite{Harlan1993a, Harlan1997a}",,updated pole and removed Tsezotene sills following Eysther2019a,1000
96,Laurentia,Uinta Mountain Group,new,,,100.0,40.75,250.7,9.0,80.0,270.17,1.97,1.97,61.5,6.62,0.8,161.3,3.3129362320934184,6.6229355812144854,4.684160890685348,0.6,3.3,1.2,161.8,3.3,6.6,4.7,45or55,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,B,760.0,750.0,766.0,<766 +/- 4 based on DZ in Dehler et al. 2010,Uinta Mountain Group,"Weil, A.B., Geissman, J.W., Ashby, J.M.",2006.0,Precambrian Res.,147,234-259,"A new paleomagnetic pole for the Neoproterozoic Uinta Mountain supergroup, Central Rocky Mountain States, USA",Overlaps with Cambrian,\cite{Weil2006b},,updated age,1000
97,Laurentia-Svalbard,Svanbergfjellet Formation,new,,F*+,100.0,78.5,18.0,1.0,18.0,333.2,29.4,29.4,25.2,7.0,25.9,226.8,4.3,7.7,5.754128952326321,0.8,35.2,29.6,227.3,4.7,8.1,6.1,0or100,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,B,770.0,730.0,789.0,"pre-Islay anomaly, post BS, authors",Svanbergfjellet Formation,"Maloof,A.C., Halverson,G.P., Kirschvink,J.L., Schrag,D.P., Weiss,B.P., Hoffman,P.F.",2006.0,Geol.Soc.Am.Bulletin,118,1099-1124,"Combined paleomagnetic, isotopic, and stratigraphic evidence for true polar wander from the Neoproterozoic Akademikerbreen Group, Svalbard, Norway",,\cite{Maloof2006a},,updated age,10296
98,Laurentia,Carbon Canyon,,,,,36.1,248.2,,,,,,,,-0.5,166.0,9.7,9.7,9.7,,,,,,,,,,,,,,,,,,,,,NR,757.0,750.0,764.0,,,,,,,,,,\cite{Weil2004a} as calculated in \cite{Eyster2019a},,added ,1000
99,Laurentia,Carbon Butte/Awatubi,,,,,35.25,248.5,,,,,,,,14.2,163.8,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,NR,751.0,743.4,758.6,"751.0 ± 7.6 Re-Os( Rooney et al., 2017) ",,,,,,,,,\cite{Eyster2019a},,added ,1000
100,Laurentia,Franklin event grand mean,new,Combined Result,C+,0.0,73.0,275.4,56.0,1000.0,289.1,0.6,0.6,1000.0,0.1,6.7,162.1,3.0,3.0,3.0,1.0,0.6,6.7,162.1,3.0,3.0,3.0,MIXED,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,A,718.0,716.0,720.0,,Franklin event grand mean,"Denyszyn,S.W., Halls,H.C., Davis,D.W., Evans,D.A.D.",2009.0,Canad.J.Earth Sci.,46,689-705,Paleomagnetism and U-Pb Geochronology of Franklin dykes in High Arctic Canada and Greenland: A revised age and paleomagnetic pole constraining block rotations in the Nares Strait region,Overlaps with Cambrian,\cite{Denyszyn2009b},,updated age,1000
101,Laurentia,Long Range dikes,new,"Dykes 1,2,3,4 and 6",C+,0.0,53.7,303.3,5.0,92.0,110.3,56.8,56.8,1000.0,14.1,-19.0,175.3,14.8,20.5,17.418381095842403,1.0,56.8,-19.0,175.3,14.8,20.5,17.418381095842403,40or60,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,B,615.0,613.0,617.0,", GPMDB4.6",Long Range Dykes,"Murthy,G.S., Gower,C., Tubett,M., Patzold,R.",1992.0,Canad.J.Earth Sci.,29,1224-1234,"Paleomagnetism of Eocambrian Long Range dykes and Double Mer Formation from Labrador, Canada",,\cite{Murthy1992a},,,1000
102,Laurentia,Baie des Moutons complex,new,A direction,,0.0,50.8,301.0,8.0,87.0,98.6,78.0,78.0,71.1,6.8,-42.6,152.7,11.7,12.4,12.044915939930839,1.0,78.0,-42.6,152.7,11.7,12.4,12.044915939930839,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,B,583.0,581.0,585.0,"583.4±2.0 weighted mean of four hornblende 40Ar–39Ar plateau ages from sites 20 and 44, McCausland et al 2011",Baie des Moutons A,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",2011.0,Precambrian Res.,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar–39Ar geochronology of the 583Ma Baie des Moutons syenite, Quebec",,\cite{McCausland2011a},,,1000
103,Laurentia,Baie des Moutons complex,new,B direction,,0.0,50.8,301.0,6.0,56.0,163.1,6.0,6.0,10.5,21.7,34.2,141.5,10.9,21.8,15.414927829866736,1.0,6.0,34.2,141.5,10.9,21.8,15.414927829866736,20or80,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,B,583.0,581.0,585.0,"583.4±2.0 weighted mean of four hornblende 40Ar–39Ar plateau ages from sites 20 and 44, McCausland et al 2011",Baie des Moutons B,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",2011.0,Precambrian Res.,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar–39Ar geochronology of the 583Ma Baie des Moutons syenite, Quebec",Overlaps with Silurian (possible Salinic orogeny overprint),\cite{McCausland2011a},,,1000
104,Laurentia,Callander Alkaline Complex,6458,,"C+,R-",0.0,46.200001,280.599998,26.0,205.0,82.199997,82.699997,82.699997,83.0,3.1,-46.3,121.4,5.9,6.1,5.999166608788258,1.0,82.699997,-46.3,121.4,5.9,6.1,5.999166608788258,12or88,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,B,575.0,570.0,580.0,", GPMDB4.6",Callander Alkaline Complex,"Symons,D.T.A., Chiasson,A.D.",1991.0,Canad.J.Earth Sci.,28,355-363,Paleomagnetism of the Callander Complex and the Cambrian apparent polar wander path for North America,,\cite{Symons1991a},,,1000
105,Laurentia,Catoctin Basalts,7474,A Component,"C+,F+,Rc,M",100.0,38.5,281.800003,6.0,28.0,68.0,84.0,84.0,59.0,9.0,-42.0,116.7,17.4,17.700001,17.549359458396196,1.0,84.0,-42.0,116.7,17.4,17.700001,17.549359458396196,50,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,B,572.0,567.0,577.0,"572±5 in felsic pod from lower Catoctin; 564 Ma in upper Catoctin -lower more applicable to basalts, Aleinikoff +95 Am.J.Sci",Catoctin Basalts,"Meert,J.G., Van der Voo,R., Payne,T.W.",1994.0,J.Geophys.Res.,99,4625-4641,Paleomagnetism of the Catoctin volcanic province: a new Vendian-Cambrian apparent polar wander path for North America,,\cite{Meert1994a},,,1000
106,Laurentia,Sept-Iles layered intrusion,1752,A Component,C*+,0.0,50.200001,293.5,10.0,51.0,333.0,-29.0,29.0,34.0,8.0,20.0,141.0,5.0,9.0,6.708203932499369,1.0,-29.0,20.0,141.0,5.0,9.0,6.708203932499369,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,B,565.0,561.0,569.0,", GPMDB4.6",Sept-Iles Layered Intrusion,"Tanczyk,E.I., Lapointe,P., Morris,W.A., Schmidt,P.W.",1987.0,Canad.J.Earth Sci.,24,1431-1438,"A paleomagnetic study of the layered mafic intrusion at Sept-Iles, Quebec",Overlaps with Silurian (possible Salinic orogeny overprint),\cite{Tanczyk1987a},,,1000
