,age,latitude,longitude
414,685.0,-5.17496181629,131.953589812
415,684.0,-5.24377096095,132.976213914
416,683.0,-5.31815230537,133.998561866
417,682.0,-5.39808061773,135.020615689
418,681.0,-5.4835288267,136.042358282
419,680.0,-5.57446803925,137.063773472
420,679.0,-5.67086755946,138.084846075
421,678.0,-5.77269490823,139.105561942
422,677.0,-5.87991584393,140.12590802
423,676.0,-5.9924943839,141.145872392
424,675.0,-6.11039282666,142.165444336
425,674.0,-6.23357177496,143.184614362
426,673.0,-6.36199015939,144.203374265
427,672.0,-6.49560526264,145.221717161
428,671.0,-6.63437274435,146.239637532
429,670.0,-6.77824666638,147.257131263
430,669.0,-6.92717951855,148.274195681
431,668.0,-7.08112224469,149.290829588
432,667.0,-7.24002426908,150.307033293
433,666.0,-7.40383352302,151.322808646
434,665.0,-7.5724964717,152.338159065
435,664.0,-7.74595814103,153.353089561
436,663.0,-7.92416214472,154.367606767
437,662.0,-8.10705071118,155.381718955
438,661.0,-8.29456471046,156.395436064
439,660.0,-8.48664368106,157.40876971
440,659.0,-8.68322585655,158.421733212
441,658.0,-8.88424819197,159.434341598
442,657.0,-9.08964638995,160.446611624
443,656.0,-9.29935492653,161.458561783
444,655.0,-9.51330707654,162.470212312
445,654.0,-9.73143493863,163.481585204
446,653.0,-9.95366945978,164.492704209
447,652.0,-10.1799404593,165.503594838
448,651.0,-10.4101766524,166.514284369
449,650.0,-10.6443056729,167.524801842
450,649.0,-10.8822540957,168.535178061
451,648.0,-11.1239474581,169.545445589
452,647.0,-11.369310281,170.555638746
453,646.0,-11.6182660891,171.565793599
454,645.0,-11.8707374299,172.575947956
455,644.0,-12.1266458932,173.586141357
456,643.0,-12.3859121283,174.596415062
457,642.0,-12.6484558615,175.606812043
458,641.0,-12.9141959123,176.617376962
459,640.0,-13.1830502089,177.628156162
460,639.0,-13.4549358028,178.639197652
461,638.0,-13.7297688828,179.65055108
462,637.0,-14.0074647878,-179.337732274
463,636.0,-14.2879380189,-178.325599531
464,635.0,-14.5711022505,-177.312996225
465,634.0,-14.8568703413,-176.299866335
466,633.0,-15.1451543433,-175.286152304
467,632.0,-15.4358655108,-174.271795068
468,631.0,-15.7289143085,-173.256734083
469,630.0,-16.0242104182,-172.240907357
470,629.0,-15.8855650205,-172.011567921
471,628.0,-15.7436860841,-171.784536015
472,627.0,-15.5986088444,-171.559856775
473,626.0,-15.4503691488,-171.33757432
474,625.0,-15.2990034383,-171.117731762
475,624.0,-15.1445487289,-170.900371196
476,623.0,-14.9870425936,-170.685533705
477,622.0,-14.8265231438,-170.473259363
478,621.0,-14.663029012,-170.263587236
479,620.0,-14.496599333,-170.056555387
480,619.0,-14.3272737272,-169.852200881
481,618.0,-14.1550922824,-169.650559792
482,617.0,-13.9800955369,-169.451667209
483,616.0,-13.8023244627,-169.255557242
484,615.0,-13.6218204482,-169.062263037
485,614.0,-14.775546471,-168.952848622
486,613.0,-15.9296769564,-168.847513207
487,612.0,-17.0841927474,-168.746240231
488,611.0,-18.2390751747,-168.649021473
489,610.0,-19.3943060076,-168.555857248
490,609.0,-20.5498674047,-168.466756663
491,608.0,-21.7057418656,-168.38173792
492,607.0,-22.861912182,-168.300828689
493,606.0,-24.0183613895,-168.224066525
494,605.0,-25.1750727175,-168.151499376
495,604.0,-26.3320295387,-168.083186152
496,603.0,-27.4892153169,-168.01919739
497,602.0,-28.646613553,-167.959616009
498,601.0,-29.804207728,-167.904538171
499,600.0,-30.9619812431,-167.854074268
500,599.0,-32.1199173563,-167.808350038
501,598.0,-33.2779991137,-167.767507841
502,597.0,-34.4362092762,-167.731708103
503,596.0,-35.594530239,-167.701130966
504,595.0,-36.7529439441,-167.675978167
505,594.0,-37.9114317834,-167.656475175
506,593.0,-39.0699744912,-167.64287364
507,592.0,-40.2285520247,-167.635454187
508,591.0,-41.3871434295,-167.634529632
509,590.0,-42.5457266877,-167.640448661
510,589.0,-43.7042785459,-167.653600086
511,588.0,-44.8627743188,-167.674417751
512,587.0,-46.0211876636,-167.703386223
513,586.0,-47.1794903209,-167.741047408
514,585.0,-48.3376518135,-167.788008264
515,584.0,-49.4956390969,-167.844949844
516,583.0,-50.653416149,-167.91263791
517,582.0,-51.8109434891,-167.991935476
518,581.0,-52.9681776073,-168.083817669
519,580.0,-54.1250702876,-168.189389437
520,579.0,-55.2815677979,-168.309906743
521,578.0,-56.4376099157,-168.446802074
522,577.0,-57.5931287491,-168.601715309
523,576.0,-58.7480473009,-168.7765313
524,575.0,-59.9022777075,-168.973425916
525,574.0,-61.0557190632,-169.194922843
526,573.0,-62.2082547125,-169.443964144
527,572.0,-63.3597488515,-169.723998619
528,571.0,-64.5100422253,-170.039093337
529,570.0,-65.65894663,-170.39407569
530,569.0,-64.8946889583,-170.089906425
531,568.0,-64.1265322958,-169.855140513
532,567.0,-63.3554539072,-169.684363624
533,566.0,-62.5823474834,-169.572675723
534,565.0,-61.8080336332,-169.515643225
535,564.0,-61.0332690147,-169.50925409
536,563.0,-60.258754274,-169.54987628
537,562.0,-59.4851409444,-169.634219719
538,561.0,-58.713037443,-169.759301709
539,560.0,-57.9430142839,-169.922415675
540,559.0,-56.8557915045,-169.575533663
541,558.0,-55.7672620593,-169.252603274
542,557.0,-54.6775485892,-168.951461662
543,556.0,-53.5867592585,-168.670200258
544,555.0,-52.4949898282,-168.407129047
545,554.0,-51.4023253845,-168.160746646
546,553.0,-50.3088417896,-167.929715125
547,552.0,-49.2146069037,-167.71283873
548,551.0,-48.1196816191,-167.509045828
549,550.0,-47.0241207402,-167.317373514
550,549.0,-45.9279737332,-167.136954451
551,548.0,-44.8312853707,-166.967005566
552,547.0,-43.734096284,-166.806818312
553,546.0,-42.6364434415,-166.65575025
554,545.0,-41.5383605628,-166.513217751
555,544.0,-40.4398784781,-166.378689637
556,543.0,-39.3410254424,-166.251681648
557,542.0,-38.2418274095,-166.131751586
558,541.0,-37.1423082736,-166.018495066
559,540.0,-36.0424900802,-165.911541774
560,539.0,-34.9481993119,-165.417611498
561,538.0,-33.8544196526,-164.928547447
562,537.0,-32.7612256789,-164.44381044
563,536.0,-31.6686904457,-163.962891903
564,535.0,-30.5768857919,-163.48531073
565,534.0,-29.4858826202,-163.010610454
566,533.0,-28.3957511569,-162.538356705
567,532.0,-27.3065611935,-162.068134907
568,531.0,-26.2183823126,-161.599548192
569,530.0,-25.1312841011,-161.132215503
570,529.0,-24.0453363527,-160.665769869
571,528.0,-22.9606092609,-160.199856816
572,527.0,-21.8771736041,-159.734132925
573,526.0,-20.7951009259,-159.268264487
574,525.0,-19.714463709,-158.80192628
575,524.0,-18.6353355473,-158.334800415
576,523.0,-17.557791314,-157.866575282
577,522.0,-16.481907329,-157.396944554
578,521.0,-15.4077615261,-156.925606256
579,520.0,-14.3354336198,-156.452261896
580,519.0,-13.9954087715,-156.19241893
581,518.0,-13.6556752961,-155.932555382
582,517.0,-13.3162402159,-155.672653134
583,516.0,-12.9771105709,-155.412694189
584,515.0,-12.6382934204,-155.152660662
585,514.0,-12.2537591294,-154.42123404
586,513.0,-11.8683829476,-153.691338123
587,512.0,-11.4822290769,-152.962903566
588,511.0,-11.0953613952,-152.235860989
589,510.0,-10.70784347,-151.510141007
590,509.0,-10.3197385711,-150.785674249
591,508.0,-9.93110968422,-150.062391384
592,507.0,-9.54201952435,-149.340223141
593,506.0,-9.15253054948,-148.619100333
594,505.0,-8.76270497424,-147.898953876
595,504.0,-8.37260478374,-147.179714806
596,503.0,-7.98229174742,-146.461314302
597,502.0,-7.59182743291,-145.743683701
598,501.0,-7.20127321993,-145.026754518
599,500.0,-6.81069031416,-144.310458461
600,499.0,-6.02129436158,-144.262035247
601,498.0,-5.23185792815,-144.21435435
602,497.0,-4.44238217295,-144.167394721
603,496.0,-3.65286821327,-144.121136071
604,495.0,-2.86331712654,-144.075558843
605,494.0,-2.07372995207,-144.030644171
606,493.0,-1.2841076928,-143.986373859
607,492.0,-0.494451316866,-143.942730344
608,491.0,0.295238240842,-143.899696673
609,490.0,1.08496007726,-143.857256476
610,489.0,0.500009310343,-143.869675117
611,488.0,-0.0850732137682,-143.869497616
612,487.0,-0.670016348506,-143.856725414
613,486.0,-1.25454892695,-143.831359229
614,485.0,-1.8383996618,-143.793399079
615,484.0,-2.42129704638,-143.74284433
616,483.0,-3.0029692574,-143.679693764
